
starting calculations for phase 1
-0.4000000000, 1.0000000000, Maximum iterations reached in field optimization, time: 5
-0.3900000000, 1.0000000000, Maximum iterations reached in field optimization, time: 17
-0.3800000000, 1.0000000000, Maximum iterations reached in field optimization, time: 5
-0.3700000000, 1.0000000000, Maximum iterations reached in field optimization, time: 8
-0.3600000000, 1.0000000000, Maximum iterations reached in field optimization, time: 7
-0.3500000000, 1.0000000000, Maximum iterations reached in field optimization, time: 7
-0.3400000000, 1.0000000000, Maximum iterations reached in field optimization, time: 10
-0.3300000000, 1.0000000000, Maximum iterations reached in field optimization, time: 5
-0.3200000000, 1.0000000000, Maximum iterations reached in field optimization, time: 4
-0.3100000000, 1.0000000000, Maximum iterations reached in field optimization, time: 4
-0.3000000000, 1.0000000000, maximum iterations reached, time: 31
-0.2900000000, 1.0000000000, maximum iterations reached, time: 23
-0.2800000000, 1.0000000000, maximum iterations reached, time: 17
-0.1000000000, 1.0000000000, -0.1102213584, 6, time: 19
-0.0900000000, 1.0000000000, -0.1038718374, 3, time: 3
-0.0800000000, 1.0000000000, -0.0976882756, 3, time: 3
-0.0700000000, 1.0000000000, -0.0916704346, 3, time: 3
-0.0600000000, 1.0000000000, -0.0858181069, 2, time: 3
-0.0500000000, 1.0000000000, -0.0801311208, 2, time: 3
-0.0400000000, 1.0000000000, -0.0746093463, 3, time: 3
-0.0300000000, 1.0000000000, -0.0692526936, 2, time: 3
-0.0200000000, 1.0000000000, -0.0640611351, 2, time: 3
-0.0100000000, 1.0000000000, -0.0590346985, 3, time: 4
0.0000000000, 1.0000000000, -0.0541734773, 3, time: 4
0.0100000000, 1.0000000000, -0.0494776543, 4, time: 5
0.0200000000, 1.0000000000, -0.0449475021, 3, time: 4
0.0300000000, 1.0000000000, -0.0405834086, 4, time: 5
0.0400000000, 1.0000000000, -0.0363858915, 4, time: 5
0.0500000000, 1.0000000000, -0.0323556350, 3, time: 4
0.0600000000, 1.0000000000, -0.0284935033, 4, time: 5
0.0700000000, 1.0000000000, -0.0248006098, 4, time: 5
0.0800000000, 1.0000000000, -0.0212783510, 5, time: 5
0.0900000000, 1.0000000000, -0.0179284948, 4, time: 5
0.1000000000, 1.0000000000, -0.0147532930, 5, time: 6
0.1100000000, 1.0000000000, -0.0117556176, 5, time: 6
0.1200000000, 1.0000000000, -0.0089392036, 5, time: 7
0.1300000000, 1.0000000000, -0.0063090044, 5, time: 7
0.1400000000, 1.0000000000, -0.0038717952, 5, time: 7
0.1500000000, 1.0000000000, -0.0016372835, 5, time: 7
0.1600000000, 1.0000000000, 0.0003795235, 5, time: 7
0.1700000000, 1.0000000000, 0.0021520083, 5, time: 8
0.1800000000, 1.0000000000, 0.0036116736, 5, time: 11
0.1900000000, 1.0000000000, 0.0000000019, 2, time: 28
0.2000000000, 1.0000000000, 0.0000000019, 1, time: 0
0.2100000000, 1.0000000000, 0.0000000019, 1, time: 0
0.2200000000, 1.0000000000, 0.0000000019, 1, time: 0
0.2300000000, 1.0000000000, 0.0000000018, 1, time: 0
0.2400000000, 1.0000000000, 0.0000000018, 1, time: 0
0.2500000000, 1.0000000000, 0.0000000017, 1, time: 0

starting calculations for phase 6
-0.1000000000, 1.0000000000, -0.1118352130, 7, time: 61
-0.1100000000, 1.0000000000, -0.1184514173, 4, time: 6
-0.1200000000, 1.0000000000, -0.1252378960, 4, time: 6
-0.1300000000, 1.0000000000, -0.1321950000, 4, time: 6
